epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,277.777,1.7486,1.03957,1.06393,0.79184,0.79914,0.81877,0.43575,1.55109,0.92949,1.0396,0.002938,0.002938,0.002938
109,280.146,1.70608,0.99562,1.02855,0.80435,0.797,0.82491,0.44487,1.54504,0.91456,1.03623,0.002872,0.002872,0.002872
110,282.831,1.73327,1.01983,1.06229,0.79304,0.78283,0.81459,0.42957,1.5896,0.94102,1.03806,0.002806,0.002806,0.002806
111,285.156,1.68345,0.98277,1.04818,0.80961,0.79657,0.82846,0.46467,1.51781,0.9062,1.02717,0.00274,0.00274,0.00274
112,287.607,1.73232,1.02665,1.02814,0.79115,0.78584,0.81443,0.4483,1.5283,0.92795,1.02734,0.002674,0.002674,0.002674
113,289.926,1.70755,0.98704,1.04354,0.70951,0.66738,0.69728,0.26829,2.07366,1.17477,1.14857,0.002608,0.002608,0.002608
114,292.326,1.7588,1.01268,1.03749,0.80139,0.79957,0.82466,0.46574,1.49667,0.90228,1.02609,0.002542,0.002542,0.002542
115,294.729,1.75224,0.98619,1.04863,0.79081,0.79871,0.82151,0.4493,1.54033,0.91983,1.03091,0.002476,0.002476,0.002476
116,296.992,1.71036,0.99896,1.02209,0.7924,0.81674,0.83518,0.44273,1.57413,0.91111,1.04486,0.00241,0.00241,0.00241
117,299.713,1.7153,0.99959,1.04392,0.80808,0.7927,0.82757,0.4095,1.67584,0.93566,1.07201,0.002344,0.002344,0.002344
118,302.03,1.70319,1.00515,1.03146,0.80565,0.80593,0.83642,0.45919,1.51377,0.8942,1.02408,0.002278,0.002278,0.002278
119,304.808,1.74086,0.99418,1.04818,0.81275,0.80472,0.83768,0.44385,1.56538,0.90286,1.0418,0.002212,0.002212,0.002212
120,307.144,1.72864,1.02475,1.03345,0.80052,0.78196,0.8233,0.45006,1.52505,0.90507,1.02453,0.002146,0.002146,0.002146
121,309.486,1.67601,1.02844,1.04789,0.81327,0.79816,0.83235,0.46249,1.50962,0.88987,1.02541,0.00208,0.00208,0.00208
122,311.856,1.66492,0.98835,1.03673,0.81424,0.79313,0.83191,0.46212,1.53043,0.8898,1.03165,0.002014,0.002014,0.002014
123,314.236,1.82236,1.03417,1.03776,0.80879,0.77336,0.8195,0.44606,1.55558,0.91252,1.03196,0.001948,0.001948,0.001948
124,316.723,1.78511,1.02737,1.02052,0.81316,0.77597,0.82081,0.44868,1.54364,0.90277,1.03032,0.001882,0.001882,0.001882
125,319.046,1.70788,0.98047,1.02947,0.80936,0.79871,0.83104,0.45032,1.55317,0.89571,1.04038,0.001816,0.001816,0.001816
126,321.411,1.6833,0.96972,1.03676,0.81129,0.78236,0.82724,0.46241,1.50698,0.89039,1.02429,0.00175,0.00175,0.00175
127,323.81,1.69637,1.00242,1.03896,0.81827,0.80197,0.83642,0.46811,1.5056,0.88138,1.02616,0.001684,0.001684,0.001684
128,326.187,1.71,0.97696,1.04197,0.80632,0.79871,0.82785,0.4668,1.50058,0.89149,1.01975,0.001618,0.001618,0.001618
129,328.685,1.71105,0.9837,1.04926,0.81955,0.80858,0.83934,0.46753,1.50172,0.87603,1.02333,0.001552,0.001552,0.001552
130,330.928,1.7124,1.00336,1.04036,0.81033,0.79579,0.83022,0.46269,1.50941,0.89253,1.01984,0.001486,0.001486,0.001486
131,333.739,1.77115,1.00824,1.0182,0.80999,0.80133,0.83228,0.46182,1.51333,0.88939,1.02057,0.00142,0.00142,0.00142
132,336.001,1.6042,0.95322,1.0298,0.8184,0.80815,0.84243,0.47053,1.50379,0.87208,1.02176,0.001354,0.001354,0.001354
133,338.463,1.69898,0.97508,1.02711,0.81299,0.81073,0.84132,0.46384,1.50883,0.8746,1.0239,0.001288,0.001288,0.001288
134,340.845,1.64642,0.98108,1.03362,0.81026,0.80129,0.83547,0.46234,1.50814,0.87859,1.02245,0.001222,0.001222,0.001222
135,343.126,1.6237,0.94097,1.03525,0.81145,0.81502,0.84224,0.46465,1.51208,0.8793,1.02289,0.001156,0.001156,0.001156
136,345.849,1.66712,0.95883,1.02331,0.80726,0.80712,0.83316,0.45023,1.54487,0.90069,1.02803,0.00109,0.00109,0.00109
137,348.702,1.78926,1.00732,1.02779,0.80963,0.80601,0.83554,0.46216,1.51111,0.88119,1.02131,0.001024,0.001024,0.001024
138,351.251,1.68313,0.96656,1.01938,0.8143,0.80171,0.83659,0.46285,1.50379,0.87725,1.02054,0.000958,0.000958,0.000958
139,353.729,1.74917,0.99397,1.04097,0.8213,0.80086,0.84198,0.47143,1.49021,0.86459,1.01881,0.000892,0.000892,0.000892
140,356.047,1.63949,0.97002,1.02762,0.81493,0.81245,0.84248,0.47106,1.49109,0.86941,1.01757,0.000826,0.000826,0.000826
141,359.63,1.64929,0.97814,1.02835,0.82225,0.80603,0.84284,0.47067,1.49325,0.86705,1.01847,0.00076,0.00076,0.00076
142,361.762,1.66118,0.99796,1.04691,0.81766,0.80832,0.8411,0.46785,1.50667,0.87166,1.02161,0.000694,0.000694,0.000694
143,364.011,1.66505,0.95894,1.01733,0.82206,0.80558,0.83875,0.46738,1.50078,0.88008,1.01932,0.000628,0.000628,0.000628
144,366.353,1.68971,1.00068,1.02716,0.80787,0.80687,0.83709,0.46396,1.51024,0.89213,1.02042,0.000562,0.000562,0.000562
145,368.586,1.64503,0.96887,1.0281,0.80785,0.79828,0.83466,0.46096,1.51157,0.89442,1.02098,0.000496,0.000496,0.000496
146,370.798,1.69674,0.97844,1.02925,0.80435,0.79575,0.82804,0.45362,1.51853,0.90474,1.02235,0.00043,0.00043,0.00043
147,373.026,1.65492,0.98471,1.03128,0.80056,0.79571,0.82696,0.45335,1.52399,0.90413,1.02352,0.000364,0.000364,0.000364
148,375.36,1.5887,0.94906,0.99837,0.80388,0.79485,0.82852,0.45907,1.51027,0.8946,1.02013,0.000298,0.000298,0.000298
149,377.708,1.64552,0.9659,1.0345,0.80644,0.79785,0.83078,0.46154,1.50372,0.88867,1.01906,0.000232,0.000232,0.000232
150,379.864,1.64773,0.9885,1.03411,0.80979,0.79742,0.83031,0.46458,1.49703,0.88576,1.0182,0.000166,0.000166,0.000166
